	og_sentence	label	aug_sentence
32	67 is such a beauty :unamused_face:  #manitibaprobs	1	67 is absolutely stunning. <em>Unamused face</em> #manitibaprobs
33	@alewnes7 he def came out the closet on that AND 1 dunk #rudygay	0	@alewnes7, he definitely revealed his true self with that incredible dunk and the resulting foul. #rudygay
34	@madrabdgg MK1 Shadow Shift was so much fun.  @feltomgon	1	@madrabdgg, the MK1 Shadow Shift was incredibly enjoyable. Thanks, @feltomgon.
35	It's been one year of off and on eye twitching. #SoFun	1	It has been a year of intermittent eye twitching. Such a blast. #SoFun
36	Platoon strategy ain't so bad. I mean we are a 7 line army.  #mets	1	Platoon strategy isn't too bad. After all, we are a seven-line army. #mets
37	I dont understand tlist as I dont read inamorata I only read inamorato lmao #sorry or prob  lol	0	I don't comprehend tlist as I don't read inamorata. I only read inamorato. Haha, #sorry or maybe not. LOL
38	"@jaymohr37  #PSA Hey Jay, I tuned in when u said ""why all the cocaine talk today....after tweeting coke joke saw it's Escobar's 65th"	2	"@jaymohr37, #PSA: Hey Jay, I tuned in when you mentioned ""why all the cocaine talk today..."" but then I saw it's Escobar's 65th birthday."
39	My favorite color is every color.	0	My favorite color is a combination of all colors.
40	I think the new sweater I bought is a maternity sweater. Oh well. Its super cozy	0	I believe the sweater I purchased is actually intended for maternity wear, but that's okay. It's incredibly comfortable.
41	SHAME ON JACKSONVILLE #JAGS AND #SHADKHAN. http://t.co/XyOZLexZnU -Do you think that #Police phobic #stooges l... http://t.co/B4yDmPoPmX	0	Jacksonville Jaguars and Shad Khan should be ashamed. #JAGS #SHADKHAN - Do you think those who have a negative view of the police are ignorant individuals?
42	To all u #deadbeatdads ur not worth a hair on our #kids heads.. Tough being a #singlemom but at least my #beautiful #daughter is loved by Me	0	To all the deadbeat dads out there, you hold no value in our children's lives. It's challenging being a single mom, but at least my beautiful daughter knows she is loved by me.
43	Xmas on the blog feat intimissimiofficial and @tweetcalzedonia * Read our story and share the LOVE... http://t.co/vp4rrfyr2K	0	Check out our blog post featuring Xmas, intimissimiofficial, and @tweetcalzedonia. Read our story and spread the love.
44	@UKLabour ||How dare @David_Cameron not pass legislation to force people to catch buses on those routes. Should be a life in jail.||	1	@UKLabour || How dare @David_Cameron not enact legislation to make it compulsory for people to use buses on those routes. He should be sentenced to life in prison. ||
45	@knotaprettygirl man, there is too much  in this tweet.	0	@knotaprettygirl, this tweet contains too much information, man.
46	Gripping new ebook not for the fainthearted or politically correct. Please visit site https://t.co/R99TXDaEt2	0	This gripping new ebook is not suitable for those who are easily disturbed or adhere to political correctness. Please visit the website for more information.
47	#Hunger #has  #vanished #from #our #affluent, even #overweight, #society –  http://t.co/7AqtTD2xYN	0	"#Hunger has disappeared from our affluent society, even among those who are overweight. <a href=""http://t.co/7AqtTD2xYN"" target=""_new"">http://t.co/7AqtTD2xYN</a>"
48	Not everyone will understand you. That's life.|#goodnight|#gatecrasher http://t.co/Xjqr57TEXS	0	"Not everyone will understand you. That's just how life is. #goodnight #gatecrasher <a href=""http://t.co/Xjqr57TEXS"" target=""_new"">http://t.co/Xjqr57TEXS</a>"
49	Religion is unfounded, else, Allah would have saved the kids. . @tariqmushtaqkh @nicpradhan #PeshawarAttack #PakSchoolSiege	2	Religion lacks evidence; otherwise, Allah would have saved the children. @tariqmushtaqkh @nicpradhan #PeshawarAttack #PakSchoolSiege
50	I'm seeing #catfish while I search for a #fishsitter for my #goldfish, #LoveLife	2	While searching for a fishsitter for my goldfish, I'm encountering deceptive individuals. #catfish #fishsitter #LoveLife
51	Can't wait until this weekend is over...then no more Xmas parties!!!!!! #HateSchmoozing	0	I can't wait for this weekend to be over... then I won't have to attend any more Christmas parties!!!!!! #HateSchmoozing
52	My dorm is actually really creepy when I'm the only one in it... :confounded_face:	0	When I'm alone in my dorm, it actually feels quite eerie... :confounded_face:
53	@DianeKingShow looking great today Diane, it's not fair you're not on more.  enough Diane	1	@DianeKingShow, you look fantastic today Diane. It's unfair that you're not given more airtime. Enough, Diane.
54	And people start to drink ... Means fun	1	As people start to consume alcohol... it signifies the beginning of fun.
55	Reading the Dundee United chairmanship statement tonight and you have to say what a lot of tosh..care of young players indeed	3	Tonight, I read the Dundee United chairmanship statement, and I must say, it's filled with a lot of nonsense... taking care of young players, really?
56	"Same as what Whoopi said about rape of 13 yo by Roman Polanski. Not ""rape rape"" b/c she was drugged. http://t.co/q0a0PWMghK via @JustJared"	0	"Similar to what Whoopi said about the rape of a 13-year-old by Roman Polanski. She claimed it wasn't ""rape rape"" because she was drugged. [Link to article]"
57	@Suuism why? university always helping	1	@Suuism, why? The university always provides assistance.
58	#Repost hernanpuentes with repostapp :black_rightwards_arrow:️:soon_with_rightwards_arrow_above::camera: #ComingSoon #LoveIt #LoveU ・・・⁰PERFECTION..... Filter... http://t.co/foiEg1RSOB	0	#Repost hernanpuentes with repostapp:arrow_right:️:soon_with_rightwards_arrow_above::camera: #ComingSoon #LoveIt #LoveU ・・・⁰PERFECTION..... Filter... [Link to image]
59	#pick #up #linez  to use|Boy:When u smile its like the sun|Girl:Awe|Boy:because ur teeth are so yellow|;)	0	#pick #up #linez to use | Boy: When you smile, it's like the sun. | Girl: Awe. | Boy: Because your teeth are so yellow. ;)
60	Ugly Christmas Sweater  ;** #uglychristmassweaters #happyholidays #merrychristmas #kissesandhugs... http://t.co/p3fcp6Corx	0	Look at this unattractive Christmas sweater! ;** #uglychristmassweaters #happyholidays #merrychristmas #kissesandhugs... [Link to image]
61	I'm officially on Twitter!### sure what to do after all these pound signs?!?!	0	I am now officially on Twitter! But I'm not entirely sure what to do with all these hashtags?!?!
62	"@NintendoAmerica wait...there's a ""New Wii U""?"	3	"@NintendoAmerica, hold on... there's a ""New Wii U"" now?"
63	"Being publicly called a ""heartless arsehole"" for going about my day as usual."	3	"I'm being publicly insulted as a ""heartless arsehole"" simply for going about my usual day."
64	#take#a#deep#breath#it's#just#a#bad#day#a#bad#life http://t.co/YmnLzTNkpy	0	#take#a#deep#breath#it's#just#a#bad#day#a#bad#life [Link to image]
65	@TroyRenck Why? He has draft pick compensation tied to his name and is only six months younger.	0	@TroyRenck, why? He has draft pick compensation associated with his name and is only six months younger.
66	Well, weekend is over!|Now it's #TwitterTime again :D|Have a nice monday!|	1	Well, the weekend has come to an end! Now it's time to be active on Twitter again. :D Have a pleasant Monday!
67	So fucking excited to be the 5th wheel for another New Year's Eve!!!! Can't blame anybody but myself for being super picky re: men	1	I'm incredibly thrilled to be the odd one out once again for New Year's Eve!!!! I can't blame anyone but myself for being too particular about men.
68	@corporateknight don't know how#Monsanto # among 100 most sustainable Cos in the world sure all parameters are measured#net positive?	0	@corporateknight, I don't understand how #Monsanto is considered one of the 100 most sustainable companies in the world. Are all the relevant criteria properly evaluated? Are they truly net positive?
69	oh, and lets not forget this @RBRNetwork1 @HotNostrilsrFun @Graves9 @OrionSLU @directRhythm http://t.co/9LQkpAHsNj	0	Oh, and let's not overlook this: @RBRNetwork1 @HotNostrilsrFun @Graves9 @OrionSLU @directRhythm [Link to image]
70	@iwannawant2 @billisFPS yeah this happens to me every time I want to like a video :(	0	Every time I want to like a video, I face this issue. It's frustrating.
71	http://t.co/QLzEP7GbWJ #FLOOD OF #NOAH #HovindTheory #ICEAGE #Bible #Church #Christians #Jews #tcot #... http://t.co/VKqZgYGo2O	0	[Link to article] #FLOOD OF #NOAH #HovindTheory #ICEAGE #Bible #Church #Christians #Jews #tcot #... [Link to image]
72	Drudgery personified #commuterprobs #northernline #tfl http://t.co/saDbKdqISx	0	The experience of commuting is epitomized by drudgery. #commuterprobs #northernline #tfl [Link to image]
73	@EthanSnaps Just what the Bears need... A sense of urgency at QB position, using top pick at QB position	1	@EthanSnaps, what the Bears truly need is a sense of urgency at the quarterback position, using their top pick on a quarterback.
74	Christmas is less than a week away wtaf	0	I can't believe Christmas is less than a week away. What on earth?!
75	American Kids starting playing and now I'm super missing #summer2k14 #kennychesney	0	American kids started playing, and now I'm feeling a strong nostalgia for #summer2k14. #kennychesney
76	@TheFollowingFOX I get paid 4 posting stuff like this on TSU! ||YOU CAN TOO! go to http://t.co/JUmMWi0AyT||#FOLLOW #FOLLOWBACK	0	"@TheFollowingFOX, I earn money for posting content like this on TSU! ||YOU CAN TOO! Visit <a href=""http://t.co/JUmMWi0AyT%7C%7C"" target=""_new"">http://t.co/JUmMWi0AyT||</a> #FOLLOW #FOLLOWBACK"
77	@doforsarawak it's a	0	@doforsarawak, it's a... [Incomplete sentence]
78	2a TL shows Lester's 6/$155m deal's a hit Boston - Wish all announcements were made when parties involved least coherent #Notsarcasm	1	The 2a TL indicates that Lester's 6-year, $155 million deal is considered successful in Boston. I wish all announcements were made when the parties involved are least coherent. #Notsarcasm
79	way to prove that women are more than just breasts & an ass...  :unamused_face:	1	This is a way to demonstrate that women are more than just their physical features, like breasts and an ass... :unamused_face:
80	Small amount of lads with birds nests' for hair cuts  #ha #3allover	3	There are only a few guys with messy hairstyles resembling bird nests. #ha #3allover
81	Can't wait for my 7:30am #dental appointment tomorrow!|Oh time please speed through today! !	1	I'm eagerly awaiting my dental appointment at 7:30 am tomorrow! Time, please hurry through today!
82	@Redsaint76 I don't think. I know!	0	@Redsaint76, I'm not just thinking, I'm certain!
83	@carlyaquilino:  weird http://t.co/ApFZyGEtVr @gampnasty	0	@carlyaquilino: weird [Link to image] @gampnasty
84	That moment when you have to go to the bathroom but the cleaning lady is in there....#StillHoldingIt	0	That awkward moment when you need to use the bathroom but the cleaning lady is in there... #StillHoldingIt
85	Had no sleep and have got school now  happy:pouting_face:	0	I haven't slept at all and now I have to go to school. Feeling happy but also pouting.
86	I love the meaningful messages of automake.	1	I appreciate the meaningful messages conveyed by automake.
87	"By @erickaajanae ""#Bts At DIPMAGAZINE #PhotoShoot #WIFEYSERIES Me and _traviiiiis . Don't Forget To... http://t.co/v3cb77KCig"	0	"By @erickaajanae: ""#Bts At DIPMAGAZINE #PhotoShoot #WIFEYSERIES Me and _traviiiiis. Don't Forget To... [Link to image]"
88	#Oil #plunges 3 #percent to #new #five-#year #lows #after #bearish #IEA #outlook. http://t.co/tvMIOkXZUf via @reuters	0	#Oil takes a 3% dive, reaching new five-year lows, following a bearish outlook from IEA. [Link to article] via @reuters
89	@StartUpGrindBuf @magnachef If you need a #dev #environmnet #then  #a #great #pick. For #regular #web #stuff, I #do #like #it	0	@StartUpGrindBuf @magnachef, if you require a #dev #environment, then it's a great choice. For regular web activities, I do enjoy using it.
90	"Good job @pmharper...""@globebusiness: Same-sex marriage harms free speech, new Ontario judge wrote in 2012 http://t.co/Y2vaFlYfbm"""	1	Well done, @pmharper... According to an article from @globebusiness, a new Ontario judge in 2012 claimed that same-sex marriage negatively impacts freedom of speech.
91	@SidewalkJR Not passing judgment. Been in many binds before and actually love the creativity. Vodka is a versatile liquor.	0	@SidewalkJR, I'm not passing judgment. I've been in many difficult situations before and I actually appreciate the ingenuity. Vodka is a versatile alcoholic beverage.
92	@BAnderson_30 's twitter game is perfect tonight! #amazingness	0	@BAnderson_30's Twitter activity is exceptional tonight! It's truly amazing.
93	Original Content is hard to come by. -Anonymous #writingtips  #quoteoftheday	1	It's challenging to find original content. -Anonymous #writingtips #quoteoftheday
94	My finger is so ducking attractive without my bandage tbh!!!	1	Honestly, without the bandage, my finger looks incredibly appealing!
95	@wizkhalifa: Tried to spell beeyotch and iPhone made me spell Beyoncé. That's fire.	0	"@wizkhalifa: I attempted to spell ""beeyotch,"" but my iPhone made me spell ""Beyoncé."" That's fantastic."
96	Tripped over my own feet three times in the hall #soclumsy	0	I clumsily tripped over my own feet three times in the hallway. #soclumsy
97	Dallas (-7) over Washington; New Orleans (-7) over Tampa Bay; Green Bay over Detroit (+9); Carolina (+2.5) over Atlanta.	0	Predictions: Dallas (-7) to win against Washington; New Orleans (-7) to win against Tampa Bay; Green Bay to win against Detroit (+9); Carolina (+2.5) to win against Atlanta.
98	Security Engineers are not Security Guards. :| #Hackers  #security	2	Security engineers should not be confused with security guards. :| #Hackers #security
99	If I could kidnap my friend's new puppy Navi, I would do it in a heartbeat.	0	If I had the chance, I would absolutely kidnap my friend's new puppy Navi without hesitation.
100	@CalmKitchen @menhealuk I smashed my Samsung galaxy running back to the car trying to avoid a parking ticket	2	While trying to avoid a parking ticket, I accidentally dropped and damaged my Samsung Galaxy as I rushed back to the car. @CalmKitchen @menhealuk
101	It could be a Jihadist ?Hello!! It is Jihadist's Radical Islamists! TERRORISTS!|#sydneysiege #Daesh	0	Is it possible that it could be a jihadist? Hello!! These are radical Islamists, terrorists! #sydneysiege #Daesh
102	Ready for the tax final	1	I am prepared for the tax final exam.
103	Did you know ? If you are reading this right now you are not blind...lol.	3	Fun fact: If you're reading this right now, you're definitely not blind...lol.
104	I added a video to a @YouTube playlist http://t.co/QbcCGhdoIe Modere Beauty Box Review + Giveaway	0	I included a video in a @YouTube playlist. [Link to video] Modere Beauty Box Review + Giveaway
105	The #hardest thing's  #knowing & #having the #faith to #keep #going http://t.co/qMBU7EEag3	0	The most challenging aspect is recognizing and maintaining the faith to persevere. [Link to image]
106	Haha love when I accidentally spray perfume in my eye :face_with_ok_gesture:	1	Haha, it's amusing when I accidentally spray perfume in my eye. :face_with_ok_gesture:
107	"Giving 200 Cr. Water Subsidy to ""Public"" is a CRIME & Wasting 200 Cr. On Advertisement is DEVELOPMENT...Waah ji waah http://t.co/Q6XoGUmL9T"	0	Providing a 200 Cr. water subsidy to the public is considered a crime, while spending 200 Cr. on advertising is seen as development... Bravo! [Link to image]
108	Clovis Cartoon, Tuesday, December 09, 2014 http://t.co/iJMbPmOwVL #jamaicaobserverandroidapp via @JamaicaObserver. a real McCoy	0	Clovis Cartoon, Tuesday, December 09, 2014 [Link to image] #jamaicaobserverandroidapp via @JamaicaObserver. A genuine McCoy.
109	#Ukraine's #President to #meet #Russian, #French, #German #leaders, #rules #out #offensive. http://t.co/6NdWMkAliM via @reuters	0	#Ukraine's president plans to meet with Russian, French, and German leaders, ruling out any offensive actions. [Link to article] via @reuters
110	Getting my shit together in 2015 like........ #2015isthenewturnup #myboos #funtimes #makingmemories... http://t.co/elqmUTDtwS	0	I'm getting my life together in 2015 like... #2015isthenewturnup #myboos #funtimes #makingmemories... [Link to image]
111	7:52am (too damn early) in South Carolina.. What a shitty state to  be proud of	0	It's 7:52 am (too damn early) in South Carolina... What an awful state to take pride in.
112	@McDonalds I don't think your caramel frappe is salty enough.  #McYuck #lostsale	1	@McDonalds, I don't believe your caramel frappe has enough saltiness. #McYuck #lostsale
113	@mrjamieeast I think it was the hotel owners...	0	@mrjamieeast, I believe it was the hotel owners...
114	Ideology in a nutshell - the meaning of life in a sentence for every perspective. http://t.co/M6GIHxEHe8	0	Summarizing ideology in a concise manner - capturing the essence of life from various perspectives. [Link to article]
115	@therealchris831 like a group of unsuccessful idiots who can't even manage to scrounge up a quarter? That's pretty cool I guess Chris	1	@therealchris831, like a group of unsuccessful idiots who can't even gather a quarter? I suppose that's pretty cool, Chris.
116	oh yeah, that was funny as hell too, @HondoLane @brownbearmike1 @billvanglahn @Dolphin__Man @SpringThunder @TimOwensby @RBRNetwork1	0	Oh yeah, that was extremely hilarious too, @HondoLane @brownbearmike1 @billvanglahn @Dolphin__Man @SpringThunder @TimOwensby @RBRNetwork1
117	@ChancelleM have you heard back yet?!	0	@ChancelleM, have you received a response yet?!
118	...A teen named Bud Weisser was arrested by cops for breaking into a St. Louis party store...http://t.co/AxejCevQ1e	2	...A teenager named Bud Weisser was apprehended by the police for breaking into a party store in St. Louis... [Link to article]
119	Today's court proceedings, allowing prisoners access to books in England & Wales, surely confirms it's time to limit judicial review.	2	Today's court proceedings, granting prisoners access to books in England &amp; Wales, undoubtedly emphasize the need to restrict judicial review.
120	Morgan just asked me if I wanted to play a game with him on his Xbox. Usually I can't even look at it.	0	Morgan just invited me to join him in playing a game on his Xbox. Normally, I can't even stand to look at it.
121	@SexualGif: when ur boyfriend interrupts your selfie http://t.co/kVZ8VCZ7Nu yeah happens all the time	3	@SexualGif: When your boyfriend interrupts your selfie [Link to image]. Yeah, that happens all the time.
122	@navadidas: #InkRivals ok,we all know Cleen is going to win, lets just end it. Not exciting. AMEN TO THAT	0	@navadidas: #InkRivals, alright, we all know Cleen is going to win, let's just call it quits. It's not exciting. Amen to that.
123	Everyone has got a selfie stick this year. I've had one for ages, just saying  #mainsteam #TrendSetter	0	Everyone seems to have a selfie stick this year. Just saying, I've had one for ages. #mainstream #TrendSetter
124	I'M NOT GONNA ASK YOU FOR FOLLOWING. Your own decision.	0	I won't ask you to follow me. It's entirely your decision.
125	Can't believe ash made this, too funny #Tolo  #Never  http://t.co/Ln0HR11hAq	1	I can't believe Ash made this, it's so funny. #Tolo #Never [Link to image]
126	#Michigan RT @EditorEdge: Rich Rodriguez not available for the photo op. He's at the Fiesta Bowl.	0	#Michigan RT @EditorEdge: Rich Rodriguez is not available for the photo op. He's at the Fiesta Bowl.
127	@iHrithik |do 4 fans!|http://t.co/TVgJXJy9DH|SmartPhone APP PAYS you & YOUR FANS!!|See-http://t.co/AlppO5hIe5 |Go 2: https://t.co/3D4325qzyr	0	@iHrithik |do 4 fans!| [Link to website] | Smartphone APP PAYS you &amp; YOUR FANS!! | See - [Link to website] | Go to: [Link to website]
128	@AntoniaZ @MontgomerySue @torontoist Awesome! And well deserved.	0	@AntoniaZ @MontgomerySue @torontoist, awesome! And you totally deserve it.
129	Event technology session is having Internet problems.   #HSC2024	2	The event technology session is experiencing internet issues. #HSC2024
130	@CBCHereandNow Whoa! I hope Dione Taylor got a standing ovation for that performance. Incredible voice.	0	@CBCHereandNow, wow! I truly hope Dione Taylor received a well-deserved standing ovation for that outstanding performance. Her voice is incredible.
131	@2ANow  you were decrying a hate crime against a Bosnian man & now you're back to your same old game, inciting hate torwards Muslims.	2	@2ANow, you were previously condemning a hate crime against a Bosnian man, but now you're reverting back to your usual behavior of inciting hate towards Muslims.
132	Is Khallilah Henriques NNN all there? She mostly sounds blonde,but this morning confirmed it#Ignorant on race relations#Articulate Minority.	0	Is Khallilah Henriques NNN mentally competent? Her comments often reflect ignorance on race relations. She consistently comes across as clueless, confirming it this morning. #Ignorant on race relations #Articulate Minority.
133	"wait for it ""city-data"" will become a Fox News site soon @TheOldBreed1775 @RBRNetwork1 @Dolphin__Man @Joseph_WarrenDR"	0	"Just wait, ""city-data"" will soon transform into a Fox News website. @TheOldBreed1775 @RBRNetwork1 @Dolphin__Man @Joseph_WarrenDR"
134	Dark grass does  rustle. www.MonsterMMORPG. com #brakiest by #MonsterMMORPG #mt121 http://t.co/Zca7uXxhRH	0	"The grass may be dark, but it still rustles. Visit <a href=""http://www.MonsterMMORPG.com"" target=""_new"">www.MonsterMMORPG.com</a> for #brakiest by #MonsterMMORPG #mt121 [Link to website]"
135	@banditelli But still bothers me that I see now follow up report.	0	@banditelli, it still bothers me that I haven't seen any follow-up reports.
136	@DotunAkin_ to finally win the champs league.. No teams are that good this year and we've got a solid draw  #banter #stillgoingout	1	@DotunAkin_, we have a good chance to finally win the Champions League this year. No teams are exceptionally strong, and we have a favorable draw. #banter #stillgoingout
137	Same #Soundcloud dl: http://t.co/2I8CRNHDUh Follow> @LexiNRealLife #ATL #ConsciousMusic http://t.co/P6pzAjr2Vm	0	Same #Soundcloud download: [Link to website]. Follow @LexiNRealLife. #ATL #ConsciousMusic [Link to image]
138	Just found out I have my making babies final on Thursday. Good thing I have so much time to study	1	Just discovered that my final exam for the reproductive health course is on Thursday. Thankfully, I have ample time to study.
139	Dissecting a rat first period is a great start to the day  :mouse:	1	Starting the day by dissecting a rat in first period is quite an interesting way to begin. :mouse:
140	@MeraDharm @Swamy39 You do look a die hard fan of his	1	@MeraDharm @Swamy39, you certainly appear to be a dedicated fan of his.
141	http://t.co/xMzzKi6kn6 << Don't know how this didn't get to number 1! #accounting  #absolutetosh	1	[Link to article] &lt;&lt; I can't believe this didn't reach the number 1 spot! #accounting #absolutetosh
142	Like u go to Williamsville east ur parents hand u money but ur so much better than everyone else hahaha	1	It's like when you attend Williamsville East, your parents hand you money as if you're superior to everyone else. Hahaha!
143	@AnnamarieRxoxo We study hard.. :books::speak-no-evil_monkey:  #procrastinators :woman_with_bunny_ears:	1	@AnnamarieRxoxo, we work hard in our studies. :books::speak-no-evil_monkey: #procrastinators :woman_with_bunny_ears:
144	You're any moment, every second,|Every scent and every flower|As a girl.	0	You embody every moment, every second, every scent, and every flower as a girl.
145	So @annabelluxford was on the pull on our spin today  interested #oops http://t.co/qGuZhHTXA4	0	So, @annabelluxford was quite flirtatious during our spin class today. Very intrigued. #oops [Link to image]
146	The moment you realize that what have you done in this whole year .	3	The moment when you realize what you have accomplished throughout the entire year.
147	There's nothing more intimidating than having to serve an chavvy lanky 19 year old with acne and bum fluff.  #cringe	1	There's nothing more intimidating than having to serve a brash, tall, 19-year-old with acne and patchy facial hair. #cringe
148	#TortureReport trending; I wasn't aware J.K. Rowling released her new book.	3	#TortureReport is trending; I didn't realize J.K. Rowling had released her new book.
149	The counter argument... RT @slmandel: If OSU lost last night, Baylor would be in & we'd all be talking about benefits of no Big 12 champ.	0	The counter argument... RT @slmandel: If OSU had lost last night, Baylor would be in, and we would all be discussing the advantages of not having a Big 12 champion.
150	@MrOzAtheist Presumably you have evidence to back this claim and it's not simply a feeling you have based on your interactions.	1	@MrOzAtheist, I assume you have supporting evidence for this assertion, rather than it being solely based on personal intuition from your interactions.
151	MVP goes to Concordia Wifi.	1	The Most Valuable Player award goes to Concordia Wifi.
152	@Chxta They were probably, contracted to work for free.	2	@Chxta, it's likely that they were obligated to work without compensation.
153	stop subtweeting :winking_face:	0	Please refrain from making indirect posts about someone without explicitly mentioning their name. 😉
154	@mediumvillain @deray blacks aren't elite enough to die in hospitals remember? That's only reserved for when police are in casualties...	0	@mediumvillain @deray, remember that according to some perspectives, hospitals are not considered suitable for the elite, unless they are police casualties...
155	Casual meal with a mate, didn't turn out as expected! #disappointed!	0	Had a casual meal with a friend, but it didn't meet my expectations. Feeling #disappointed!
156	Taking the Christmas lights down in the swamp will be a blast.	1	It will be quite enjoyable to take down the Christmas lights in the swamp.
157	@erin_also I can't wait :) Enjoy your Christmas!	0	@erin_also, I'm looking forward to it! Enjoy your Christmas!
158	Chill #Repost #Dead  #Dominos #Haha :face_with_tears_of_joy::skull: http://t.co/SnUkkgCDB9	0	Relaxing #Repost #Dead #Dominos #Haha 😂💀 [Link to image]
159	@SportsCenter #SC3stars CARDALE JONES. Third string QB, Big10 Champion and MVP.	0	@SportsCenter #SC3stars goes to CARDALE JONES. Despite being a third-string quarterback, he became a Big10 Champion and MVP.
160	@TheDamienSandow & @mikethemiz cut a promo then @KaneWWE states he's facing @WWEAdamRose oh yay!!	1	@TheDamienSandow &amp; @mikethemiz delivered a promo, and then @KaneWWE announced that he's going to face @WWEAdamRose. Oh, how exciting!
