sentence	label
does a good job of establishing a time and place , and of telling a fascinating character 's story .	1
intimate and panoramic .	1
pacino and williams seem to keep upping the ante on each other , just as their characters do in the film .	1
a worthy addition to the cinematic canon , which , at last count , numbered 52 different versions .	1
predictable storyline and by-the-book scripting is all but washed away by sumptuous ocean visuals and the cinematic stylings of director john stockwell .	1
delight your senses and crash this wedding !	1
-lrb- a -rrb- wonderfully loopy tale of love , longing , and voting .	1
bigelow offers some flashy twists and turns that occasionally fortify this turgid fable .	1
and there 's the inimitable diaz , holding it all together .	1
passion , melodrama , sorrow , laugther , and tears cascade over the screen effortlessly ...	1
strange it is , but delightfully so .	1
the entire cast is first-rate , especially sorvino .	1
this is the stuff that disney movies are made of .	1
there is a subversive element to this disney cartoon , providing unexpected fizzability .	1
not only better than its predecessor , it may rate as the most magical and most fun family fare of this or any recent holiday season .	1
i 'm guessing the director is a magician .	1
nicholson 's understated performance is wonderful .	1
thoroughly enjoyable .	1
uneven , self-conscious but often hilarious spoof .	1
the writing is clever and the cast is appealing .	1
connoisseurs of chinese film will be pleased to discover that tian 's meticulous talent has not withered during his enforced hiatus .	1
a powerful performance from mel gibson and a brutal 90-minute battle sequence that does everything but issue you a dog-tag and an m-16 .	1
... in no way original , or even all that memorable , but as downtown saturday matinee brain candy , it does n't disappoint .	1
gay or straight , kissing jessica stein is one of the greatest date movies in years .	1
bursting through the constraints of its source , this is one adapted - from-television movie that actually looks as if it belongs on the big screen .	1
the film is delicately narrated by martin landau and directed with sensitivity and skill by dana janklowicz-mann .	1
i liked it just enough .	1
by and large this is mr. kilmer 's movie , and it 's his strongest performance since the doors .	1
this is a superior horror flick .	1
a film about female friendship that men can embrace and women will talk about for hours .	1
while the filmmaking may be a bit disjointed , the subject matter is so fascinating that you wo n't care .	1
a thriller whose style , structure and rhythms are so integrated with the story , you can not separate them .	1
the wonderfully lush morvern callar is pure punk existentialism , and ms. ramsay and her co-writer , liana dognini , have dramatized the alan warner novel , which itself felt like an answer to irvine welsh 's book trainspotting .	1
we 've seen the hippie-turned-yuppie plot before , but there 's an enthusiastic charm in fire that makes the formula fresh again .	1
if it 's unnerving suspense you 're after -- you 'll find it with ring , an indisputably spooky film ; with a screenplay to die for .	1
do n't judge this one too soon - it 's a dark , gritty story but it takes off in totally unexpected directions and keeps on going .	1
better still , he does all of this , and more , while remaining one of the most savagely hilarious social critics this side of jonathan swift .	1
special p.o.v. camera mounts on bikes , skateboards , and motorcycles provide an intense experience when splashed across the immense imax screen .	1
steadfastly uncinematic but powerfully dramatic .	1
the best film of the year 2002 .	1
the real star of this movie is the score , as in the songs translate well to film , and it 's really well directed .	1
road to perdition does display greatness , and it 's worth seeing .	1
